ID,s_id,grade,subject,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1,3,2,science,11,93.26,50,31.94,1,5.5,36.36,72.73,36.36,9.09,0,0,0,0,0,0,9.09,18.18,0,0,0,9.09,0,9.09,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,0,9.09,0,18.18,18.18,0,9.09,0,0,0,0,0,0,9.09,0,0,9.09,0,0,18.18,18.18,0,0,0,0,0,0,0,0,0,0
2,5,2,science,19,22.39,5.73,81.22,25.77,4.75,10.53,78.95,63.16,10.53,5.26,5.26,0,0,0,0,5.26,10.53,5.26,15.79,5.26,10.53,5.26,26.32,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05,5.26,10.53,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,10.53,10.53,10.53,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,21.05,15.79,0,0,0,5.26,0,0,0,0,0,0
3,5,2,social,15,8.69,9.13,82.75,25.77,15,6.67,86.67,53.33,26.67,26.67,20,0,0,6.67,0,0,6.67,0,13.33,0,6.67,0,33.33,6.67,6.67,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,6.67,33.33,13.33,13.33,0,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,0,6.67,0,0,0,6.67,26.67,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0
4,9,2,science,14,1,23.75,52.86,25.77,14,0,92.86,71.43,7.14,0,0,0,0,0,0,7.14,0,7.14,14.29,14.29,35.71,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,7.14,14.29,0,0,14.29,7.14,0,0,0,7.14,0,0,0,0,0,0,0,7.14,14.29,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,7.14,0,0,0,0,0,0,0,7.14,0,0
5,13,2,science,59,81.35,75.12,45.61,57.83,29.5,11.86,83.05,42.37,6.78,5.08,1.69,0,0,0,3.39,1.69,11.86,5.08,8.47,3.39,6.78,0,22.03,3.39,0,0,3.39,5.08,1.69,1.69,0,0,0,0,8.47,0,0,0,0,16.95,5.08,1.69,1.69,6.78,1.69,0,3.39,1.69,1.69,0,5.08,1.69,1.69,0,1.69,3.39,0,0,1.69,0,1.69,3.39,10.17,1.69,15.25,5.08,6.78,3.39,0,0,0,0,0,1.69,1.69,0,0,1.69,0,0,5.08,3.39,0,0,0,0,0,0,0,1.69,0,0
6,13,2,social,29,11.27,84.96,1,25.77,29,13.79,82.76,48.28,13.79,13.79,3.45,0,0,10.34,0,0,0,10.34,10.34,13.79,10.34,0,27.59,0,0,3.45,0,3.45,0,0,0,0,0,0,13.79,0,0,0,10.34,31.03,6.9,10.34,10.34,0,3.45,0,3.45,3.45,0,0,0,0,0,0,0,3.45,0,3.45,0,0,0,3.45,17.24,0,6.9,3.45,3.45,0,3.45,0,0,0,0,0,0,0,0,0,0,0,3.45,3.45,0,0,0,0,0,0,0,0,0,0
7,15,2,science,70,78.3,33.41,84.71,8.64,8.75,18.57,85.71,55.71,15.71,12.86,8.57,0,0,0,4.29,2.86,12.86,11.43,7.14,7.14,4.29,0,24.29,0,0,2.86,1.43,0,4.29,1.43,2.86,0,2.86,0,4.29,0,0,0,0,17.14,10,8.57,0,1.43,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,1.43,0,5.71,18.57,0,8.57,0,7.14,1.43,1.43,0,0,0,0,10,1.43,0,0,1.43,0,0,11.43,8.57,0,0,0,0,2.86,0,0,0,0,0
8,15,2,social,31,20.95,62.65,8.87,99,7.75,16.13,93.55,58.06,19.35,16.13,6.45,0,0,9.68,0,3.23,6.45,9.68,16.13,6.45,6.45,0,29.03,6.45,0,6.45,3.23,0,9.68,9.68,0,0,0,0,9.68,0,0,0,9.68,25.81,6.45,16.13,0,3.23,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,6.45,0,0,25.81,0,9.68,0,9.68,0,3.23,6.45,0,0,0,0,0,0,0,0,0,0,19.35,12.9,0,0,0,0,0,0,0,6.45,0,0
9,18,2,science,15,97.53,90.87,1,25.77,3.75,26.67,73.33,46.67,13.33,13.33,0,0,0,0,13.33,0,26.67,0,6.67,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,6.67,6.67,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,26.67,26.67,0,0,0,0,0,0,0,0,0,0
10,18,2,social,5,1,97.69,1,25.77,5,40,80,80,20,20,0,0,0,20,0,0,0,0,20,0,40,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19,2,science,54,1.92,1.38,79.42,25.77,27,9.26,87.04,57.41,5.56,1.85,1.85,0,0,0,0,3.7,3.7,1.85,7.41,3.7,22.22,16.67,16.67,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,1.85,3.7,1.85,0,0,3.7,7.41,1.85,0,5.56,0,0,0,0,0,1.85,0,0,0,0,1.85,9.26,3.7,0,20.37,9.26,3.7,7.41,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3.7,0,0,0,0,0,0,0,1.85,0,0
12,19,2,social,61,89.64,74.41,5.64,25.77,61,11.48,83.61,50.82,6.56,6.56,1.64,0,0,4.92,0,0,9.84,14.75,8.2,1.64,11.48,0,16.39,0,0,0,1.64,3.28,3.28,1.64,1.64,0,0,0,8.2,1.64,0,0,4.92,13.11,4.92,3.28,3.28,1.64,0,0,3.28,3.28,0,0,1.64,1.64,0,0,0,8.2,3.28,3.28,1.64,0,1.64,9.84,8.2,1.64,13.11,3.28,9.84,0,3.28,4.92,4.92,0,0,0,0,0,0,0,0,0,3.28,1.64,0,0,0,0,0,1.64,0,0,0,0
13,21,2,science,35,36.68,2.31,62.17,25.77,17.5,25.71,68.57,45.71,2.86,0,0,0,0,0,0,2.86,8.57,2.86,8.57,2.86,14.29,8.57,17.14,0,0,2.86,0,2.86,0,0,0,0,0,0,0,0,0,0,0,22.86,2.86,2.86,0,8.57,0,11.43,0,0,0,0,5.71,0,0,0,5.71,2.86,0,2.86,0,0,0,5.71,11.43,0,8.57,2.86,2.86,2.86,0,2.86,0,0,0,0,2.86,0,0,2.86,0,0,14.29,5.71,8.57,0,0,0,0,0,0,0,0,0
14,21,2,social,35,1,19.58,26,99,17.5,22.86,88.57,62.86,22.86,17.14,8.57,0,0,0,8.57,5.71,0,2.86,17.14,0,20,5.71,25.71,5.71,2.86,0,0,0,11.43,11.43,0,0,0,0,8.57,0,0,0,0,17.14,2.86,8.57,0,2.86,0,2.86,11.43,2.86,0,2.86,2.86,0,0,0,2.86,0,0,0,0,0,0,0,17.14,2.86,2.86,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,5.71,0,0,0,0,0,0,0,8.57,0,0
15,24,2,science,17,93.26,50,91.95,25.77,8.5,23.53,76.47,52.94,5.88,0,0,0,0,0,0,5.88,11.76,17.65,0,5.88,17.65,0,11.76,5.88,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,5.88,0,0,5.88,5.88,29.41,5.88,5.88,17.65,0,0,0,0,0,0,5.88,0,0,5.88,0,0,11.76,11.76,0,0,0,0,0,0,0,0,0,0
16,24,2,social,12,18.82,79.76,1,25.77,12,8.33,66.67,33.33,8.33,8.33,0,0,0,8.33,0,0,0,0,16.67,0,8.33,0,25,0,0,0,0,8.33,0,0,0,0,0,0,8.33,0,0,0,8.33,33.33,8.33,8.33,8.33,0,8.33,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,16.67,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,8.33,8.33,0,0,0,0,0,0,0,0,0
17,27,2,science,11,98.34,18.16,31.94,99,11,27.27,72.73,45.45,9.09,9.09,9.09,0,0,0,0,0,18.18,9.09,0,0,9.09,0,0,0,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,18.18,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,9.09,0,0,9.09,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
18,30,2,science,73,14.74,10.89,79.89,25.77,73,20.55,83.56,67.12,16.44,2.74,1.37,0,0,0,1.37,13.7,15.07,4.11,10.96,10.96,13.7,2.74,24.66,0,0,1.37,0,2.74,0,0,0,0,0,0,1.37,0,0,0,0,19.18,1.37,2.74,0,5.48,0,9.59,1.37,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,15.07,5.48,1.37,13.7,4.11,5.48,4.11,0,0,0,0,0,4.11,0,0,0,0,0,0,1.37,1.37,0,0,0,0,0,0,0,0,0,0
19,30,2,social,65,24.14,89.07,1,95.12,65,10.77,80,55.38,16.92,9.23,0,0,0,9.23,0,7.69,1.54,15.38,9.23,7.69,13.85,0,18.46,0,0,3.08,1.54,1.54,4.62,4.62,0,0,0,0,12.31,1.54,0,0,9.23,10.77,3.08,3.08,1.54,0,3.08,0,1.54,1.54,0,0,0,0,0,0,0,9.23,1.54,1.54,1.54,4.62,0,7.69,7.69,1.54,9.23,3.08,4.62,1.54,9.23,1.54,1.54,0,0,0,0,0,0,0,0,0,4.62,1.54,0,0,0,0,0,0,0,3.08,0,0
20,33,1,science,10,1.92,1,43.37,25.77,10,10,100,90,20,0,0,0,0,0,0,20,10,10,20,0,10,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
21,33,1,social,8,38.6,89.42,1,25.77,8,12.5,50,50,12.5,12.5,0,0,0,12.5,0,0,0,12.5,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,36,2,science,26,33.48,35.01,38.39,1,8.67,26.92,84.62,65.38,7.69,3.85,0,3.85,0,0,0,3.85,11.54,7.69,11.54,3.85,15.38,7.69,15.38,0,0,0,0,0,7.69,0,7.69,0,7.69,0,3.85,0,0,0,0,15.38,0,7.69,3.85,0,0,3.85,0,0,0,0,0,0,0,0,0,11.54,3.85,0,7.69,0,0,7.69,3.85,3.85,19.23,3.85,11.54,3.85,0,0,0,0,0,0,0,0,0,0,0,0,11.54,11.54,0,0,0,0,0,0,0,0,0,0
