ID,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1,25,2.7,50,20.24,1,12.5,8,100,68,8,8,0,0,0,0,8,0,8,4,20,12,16,4,24,4,0,4,0,4,4,0,4,0,0,4,8,0,0,0,0,20,4,12,0,4,0,4,0,0,0,0,0,0,0,0,0,12,0,0,8,4,0,0,24,0,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,8,8,0,0,0,0,0,0,0,0,0,0
2,51,69.72,65.27,53.79,1,10.2,5.88,86.27,54.9,11.76,9.8,1.96,7.84,0,0,0,1.96,5.88,15.69,11.76,1.96,3.92,5.88,21.57,0,0,1.96,3.92,0,5.88,0,5.88,0,0,0,7.84,0,0,0,0,19.61,7.84,5.88,7.84,0,0,3.92,0,0,0,0,3.92,1.96,1.96,0,0,13.73,7.84,0,5.88,0,0,0,17.65,0,15.69,1.96,9.8,3.92,0,0,0,0,0,0,0,0,0,0,0,0,9.8,9.8,0,0,0,0,0,0,0,0,0,0
3,15,52.71,25.24,10.08,1,15,20,86.67,60,6.67,6.67,0,0,0,0,6.67,0,6.67,13.33,13.33,0,6.67,13.33,13.33,0,0,0,0,0,13.33,0,13.33,0,0,6.67,13.33,0,0,0,0,20,0,13.33,0,0,0,6.67,6.67,0,0,6.67,0,0,0,0,0,13.33,0,0,13.33,0,0,0,6.67,6.67,6.67,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0
4,43,43.45,96.84,1,1,7.17,20.93,81.4,53.49,13.95,11.63,0,6.98,4.65,0,0,2.33,6.98,9.3,9.3,2.33,9.3,4.65,18.6,0,0,0,0,0,9.3,0,9.3,0,6.98,0,16.28,0,0,0,0,20.93,0,6.98,9.3,0,0,4.65,0,0,0,0,2.33,0,2.33,0,0,16.28,6.98,0,9.3,0,0,0,11.63,0,2.33,0,2.33,0,0,0,0,0,0,4.65,0,0,0,0,0,0,13.95,13.95,0,0,0,0,0,0,0,0,0,0
5,1,93.26,50,1,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,0,0
6,19,35.06,1.81,81.22,1,9.5,5.26,84.21,68.42,15.79,10.53,5.26,0,0,0,5.26,5.26,5.26,15.79,15.79,0,5.26,10.53,15.79,0,0,0,0,0,10.53,0,10.53,0,0,0,5.26,0,0,0,0,26.32,5.26,10.53,5.26,0,0,10.53,0,0,0,0,0,0,0,0,0,15.79,0,0,10.53,0,5.26,0,10.53,0,10.53,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,10.53,0,0,0,0,0,0,0,0,0,0
7,14,29.3,7.67,1,1,14,7.14,85.71,57.14,0,0,0,0,0,0,0,0,14.29,0,21.43,0,7.14,14.29,14.29,0,0,0,0,0,7.14,0,7.14,0,0,0,7.14,0,0,0,0,21.43,0,7.14,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
8,15,84.62,25.24,10.08,1,15,13.33,86.67,60,0,0,0,0,0,0,0,0,13.33,13.33,20,0,6.67,6.67,26.67,0,0,0,0,0,13.33,0,13.33,0,0,0,6.67,0,0,0,0,20,0,6.67,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,6.67,0,13.33,6.67,13.33,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0
9,14,99,50,52.86,1,14,0,85.71,50,0,0,0,0,0,0,0,0,21.43,14.29,7.14,0,7.14,0,14.29,0,0,0,0,0,7.14,0,7.14,0,0,0,7.14,0,0,0,7.14,7.14,0,0,7.14,7.14,0,7.14,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,0,7.14,7.14,21.43,14.29,7.14,0,0,0,0,0,7.14,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
10,11,93.26,18.16,2.4,25.77,11,9.09,81.82,54.55,0,0,0,0,0,0,0,0,18.18,9.09,9.09,0,9.09,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,18.18,0,9.09,0,9.09,0,0,0,0,0,9.09,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0
