Source (A),Source (B),Source (C),Source (D),Source (E),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
10113107,1,1,They should cut down trees in the rainforest because they like cutting trees down.,1,14,93.26,92.33,13.15,25.77,14.00,28.57,71.43,57.14,14.29,14.29,0.00,0.00,0.00,0.00,14.29,0.00,7.14,21.43,7.14,0.00,7.14,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,7.14,7.14,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,21.43,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113114,2,5,I do not think they should cut down trees because tree has a life like us so we need to treat them the way they treat us.,1,27,18.82,98.62,4.97,88.52,27.00,3.70,92.59,66.67,25.93,25.93,3.70,11.11,0.00,0.00,11.11,0.00,7.41,11.11,11.11,3.70,7.41,3.70,18.52,0.00,3.70,0.00,0.00,0.00,11.11,7.41,3.70,0.00,0.00,0.00,22.22,0.00,0.00,0.00,0.00,18.52,3.70,3.70,7.41,0.00,0.00,3.70,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,14.81,11.11,0.00,3.70,0.00,0.00,0.00,14.81,0.00,7.41,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113115,1,2,"Because there won’t be more trees and the rainforest will be destroyed,",1,12,1.00,20.24,1.00,1.00,12.00,25.00,83.33,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,33.33,8.33,16.67,8.33,33.33,8.33,8.33,0.00,0.00,8.33,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00
10113116,2,4,They shouldn't be allowed because it destroys animals' homes.,1,9,1.00,50.00,1.00,1.00,9.00,55.56,88.89,55.56,22.22,11.11,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,22.22,0.00,11.11,11.11,22.22,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,33.33,0.00,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,22.22,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00
10113117,2,5,No because trees make air for us to breathe. They are homes for animals to live in and play and they are nature.,1,23,60.05,90.38,2.02,93.61,11.50,13.04,86.96,60.87,13.04,13.04,0.00,4.35,0.00,0.00,8.70,0.00,0.00,21.74,8.70,0.00,13.04,4.35,17.39,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,8.70,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,4.35,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,17.39,0.00,8.70,0.00,8.70,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113124,3,7,They should not cut down trees in the rainforest. The animals and plants will not survive they will be extinct forever. It will not be good at all.,1,28,29.30,7.67,52.86,25.77,9.33,17.86,82.14,64.29,10.71,7.14,0.00,0.00,0.00,0.00,7.14,3.57,7.14,10.71,21.43,0.00,3.57,10.71,21.43,0.00,0.00,0.00,0.00,3.57,7.14,3.57,3.57,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,21.43,0.00,0.00,3.57,0.00,7.14,10.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,0.00,3.57,3.57,3.57,0.00,0.00,7.14,10.71,14.29,0.00,10.71,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.71,10.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113128,1,1,I think they should not cut trees down.,1,8,11.86,1.00,99.00,1.00,8.00,0.00,87.50,62.50,25.00,25.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,12.50,12.50,0.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,37.50,12.50,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113129,4,9,"They should not be allowed to cut down trees. If they cut down all of the trees in the rainforest, all of the little animals like monkeys and birds will get endangered. All of the nests will be destroyed. Also if there are little birds in the nest they would not survive. Also if there is a monkey in the tree when it falls down it will not survive either.",1,70,64.59,15.86,26.00,1.00,14.00,11.43,85.71,62.86,7.14,4.29,0.00,0.00,0.00,0.00,4.29,2.86,10.00,15.71,12.86,7.14,10.00,4.29,14.29,1.43,2.86,1.43,0.00,5.71,4.29,0.00,4.29,0.00,1.43,0.00,4.29,0.00,0.00,0.00,0.00,18.57,0.00,1.43,7.14,4.29,4.29,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.43,0.00,2.86,7.14,1.43,0.00,0.00,7.14,4.29,14.29,1.43,11.43,1.43,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.57,7.14,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113131,2,4,"No, they are not allowed because if they do the monkeys will be extinct. And the monkeys will die. And the monkeys will be gone forever. So no.",1,28,1.00,14.19,4.35,25.77,7.00,25.00,96.43,71.43,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,10.71,0.00,25.00,3.57,17.86,10.71,32.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,17.86,0.00,7.14,3.57,3.57,3.57,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,3.57,0.00,0.00,3.57,17.86,10.71,7.14,3.57,0.00,3.57,0.00,0.00,0.00,0.00,10.71,3.57,0.00,0.00,0.00,0.00,0.00,0.00,17.86,14.29,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10113141,1,1,They should not should there habitat because they will be endangered.,1,11,1.00,50.00,1.00,25.77,11.00,27.27,81.82,81.82,18.18,18.18,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,36.36,9.09,9.09,9.09,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,0.00,0.00,36.36,0.00,9.09,18.18,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
