"s_id","grade","subject","more","text","text.sc"
12666858,"2","science",0,"Yes. Because a asteroid goes fast adn it destroyed the dinosaurs.","yes. because a asteroid goes fast adn it destroyed the dinosaurs."
12678310,"2","science",0,"No. Because I think a storm came. But why will asteroid struck? That will be a waste of time.","no. because i think a storm came. but why will asteroid struck? that will be a waste of time."
12678310,"2","social",0,"I think I will pick Henry Ford because I think he did the most work.","i think i will pick henry ford because i think he did the most work."
12712181,"2","science",0,"It's too hot or too cold for and then having enough food and then.","it's too hot or too cold for and then having enough food and then."
12723878,"2","science",0,"Yes I know the asteroid did hit the earth because they are finding dinosaur bones and some people say the lake Ness monster is still alive hiding under the water 65 million years and some people think they saw the XXX fly it could be true. Maybe some XXX's struck the asteroid coming to the earth and fly away.","yes i know the asteroid did hit the earth because they are finding dinosaur bones and some people say the lake ness monster is still alive hiding under the water 65 million years and some people think they saw the xxx fly it could be true. maybe some xxx's struck the asteroid coming to the earth and fly away."
12723878,"2","social",0,"I would pick Leonardo da Vinci because he was all way think about birds he drawed picture he want to know how there wigs work so people could fly to.","i would pick leonardo davinci because he was all way think about birds he drew picture he want to know how there wigs work so people could fly to."
12732322,"2","science",0,"I think dinosaurs die! Because the asteroid killed the dinosaurs in ne reaon is an asteroid killed them. So they die now in. I do agree with the scientists in one opinion is why did the dinosaurs die. I use evidence! An paleontologist. In the reason I think dinosaurs died is from an asteroid in. I think they got hit from it so that why I think the dinosaurs died.","i think dinosaurs die! because the asteroid killed the dinosaurs in ne reason is an asteroid killed them. so they die now in. i do agree with the scientists in one opinion is why did the dinosaurs die. i use evidence! an paleontologist. in the reason i think dinosaurs died is from an asteroid in. i think they got hit from it so that why i think the dinosaurs died."
12732322,"2","social",0,"I think Leonardo because he is a great artist. In one opinion is I think he's a great scientist in why. is because he likes art in making birds. That's why.","i think leonardo because he is a great artist. in one opinion is i think he's a great scientist in why. is because he likes art in making birds. that's why."
12738571,"2","science",0,"The dinosaurs died. The asteroid hit them. The dinosaurs is gone. The asteroid hit them.","the dinosaurs died. the asteroid hit them. the dinosaurs is gone. the asteroid hit them."
12738571,"2","social",0,"Henry because he is because","henry because he is because"
