"ID","text.sc"
1,"Yes they are because they are big and some homes are in there. And the reason why is so the home do not get crushed."
2,"I do not think we should cut down tree in the rainforest. One reason is we need trees to live. The second reason is we need trees to breathe. And lastly animals have no place to go when cut down the trees. For these reason we should not cut down trees."
3,"No people are not allowed to cut down trees because they will hurt the animals."
4,"People should not be allowed to destroy the rainforest. Your killing animals and plants. We need the plants and animals. Your killing nature and stuff we need. We use plants for living. So people should not be allowed to cut down the rainforest."
5,"Yes."
6,"They should not trees down. My reason is not cut down trees because that is bad for the forest."
7,"No people can't cut the trees because the monkey would not have homes."
8,"People should not cut the trees because the animals are going to be in danger."
9,"If the man cut the tree the spider monkey is going to fall down."
10,"No because the monkey wouldn't have a place to live."
11,"No because animals wouldn't have nowhere else to live."
12,"You should not cut the forest trees because animals live there."
13,"No they can't cut down the trees it could kill life in the rainforest because if you cut down the trees you could kill very rare animals so do not cut down the trees it makes the rainforest more and more unsafe for these animals because will get crushed tigers will die monkeys will have less food. None will survive if you do that!"
14,"No because is going to XXX the XXX XXX going XXX."
16,"No. They should not cut down trees in the rainforest. The rainforest is the most important place on the Earth. Animals could die if you cut down trees in the rainforest."
17,"No!! I don't think people should cut down trees because animals plants are living at many rainforest and they give us air to live. Also people / animals need air also plants they don't deserve to be cut down."
18,"No you cannot cut the tree down."
19,"Do not think we should cut down trees in the rainforest. One reason is animal live there. We need trees. No people will cut the trees."
20,"No I don't think people should cut down trees because spider monkeys need to live and bears and koalas."
21,"No because"
22,"No because it will hurt animals."
25,"I do / do not think we should no cut down trees in the rainforest. One reason is they have egg and a nest and if they cut down the trees all the trees will fall on people and they will get hurt."
26,"They should not. I'm sad that they are doing that. They are cutting."
27,"I think they shouldn't destroy the rainforest because trees give us oxygen and the more you cut down the less oxygen we get."
28,"No because when people cut down trees animal can't breathe."
29,"I do not think we should cut down trees in the rainforest. One reason is spider monkeys need them to live. The second reason is spider monkey have families there."
30,"I am mad because I like every animal and I like the trees because they have air in them and they're making animals endangered species and stopping monkeys from seeds place to place."
31,"It is a warm summer sand. We go to the beach. I like it. There are all the reasons why I like the book."
32,"No because birds in trees to live."
33,"Opinion - do not destroy the rainforest! (1) it will kill animals (2) is will destroy food (3) it will destroy everything that we need!! I hate we do not destroy any more rainforest!!"
34,"They should not be allowed to cut down trees 1. It's wasting food. 2. It's helpful to have medicine from insects. 3. The plants are natural resources we need those. Only cut down few rainforest because we're not going to survive with just shelter. So it's not such a great idea because we need food, medicine, water, and plants. So really don't do this to endangered animals. I don't really think this a great idea to me. People should not be allowed to cut down trees a lot."
35,"No because you can kill an animal."
36,"No they not supposed to cut down trees because birds live in the tree and bears live in trees too and some bears don't live in trees but sometimes they can live in trees and chipmunks live in it but some chipmunks don't live in it and some like trees and Alvin and the Chipmunks like trees in some movies."
37,"No."
40,"No because people need trees to live."
